an;mois;nation_2;engin;pecherie_2;espece;poids
2019;1;GEORGIENNE;110;Peche hauturiere pelagique;Calamar;4428
2019;1;GEORGIENNE;CHALUT;Peche hauturiere pelagique;Calamar;945
2019;1;GEORGIENNE;CHALUTE;Peche hauturiere pelagique;Calamar;1269
2019;2;GEORGIENNE;CHALUT;Peche hauturiere pelagique;Calamar;4374
2019;2;Mauritanienne;CHALUT;Peche Côtiere pelagique Segment 3;Calamar;1170
2019;3;BELIZE;110;Peche hauturiere pelagique;Calamar;440
2019;3;GEORGIENNE;CHALUT;Peche hauturiere pelagique;Calamar;1188
2019;3;LITHUANIAN;110;Peche hauturiere pelagique;Calamar;882
2019;4;BELIZE;110;Peche hauturiere pelagique;Calamar;960
2019;4;CHINOISE;140;Peche Côtiere pelagique Segment 3;Calamar;40
2019;4;RUSSE;110;Peche hauturiere pelagique;Calamar;220
2019;5;BELIZE;110;Peche hauturiere pelagique;Calamar;240
2019;5;GEORGIENNE;CHALUT;Peche hauturiere pelagique;Calamar;7425
2019;6;ESPAGNOLE;5;Peche hauturiere pelagique;Calamar;52
2019;7;CAMEROUN;CHALUT;Peche hauturiere pelagique;Calamar;6885
2019;7;Chinoise;140;Peche Côtiere pelagique Segment 3;Calamar;200
2019;7;CHINOISE;140;Peche Côtiere pelagique Segment 3;Calamar;60
2019;7;CURACAO;110;Peche Côtiere pelagique Segment 3;Calamar;900
2019;7;ESPAGNOLE;CHALUT;Peche hauturiere pelagique;Calamar;26
2019;7;GEORGIENNE;CHALUT;Peche hauturiere pelagique;Calamar;3132
2019;7;Mauritanienne;CBP;Peche hauturiere pelagique;Calamar;1820
2019;7;RUSSE;110;Peche hauturiere pelagique;Calamar;4077
2019;8;CAMEROUNAISE;110;Peche hauturiere pelagique;Calamar;19035
2019;8;ESPAGNOLE;chalut;Peche hauturiere pelagique;Calamar;182
2019;8;GEORGIENNE;CHALUT;Peche hauturiere pelagique;Calamar;9099
2019;8;LETONIENNE;CHALUT;Peche hauturiere pelagique;Calamar;1782
2019;8;Mauritanienne;---;Peche hauturiere pelagique;Calamar;1450
2019;8;Mauritanienne;CBP;Peche hauturiere pelagique;Calamar;360
2019;9;BELIZE;110;Peche hauturiere pelagique;Calamar;1008
2019;9;CURACAO;110;Peche Côtiere pelagique Segment 3;Calamar;20
2019;9;Mauritanienne;CBP;Peche hauturiere pelagique;Calamar;10
2019;10;chinoise;---;Peche Côtiere pelagique Segment 3;Calamar;6592
2019;11;BELIZE;110;Peche hauturiere pelagique;Calamar;3280
2019;11;Belizienne;330;Peche Côtiere pelagique Segment 2;Calamar;1000
2019;11;CAMEROUNAISE;CHALUT;Peche hauturiere pelagique;Calamar;7290
2019;12;BELIZE;110;Peche hauturiere pelagique;Calamar;40
2019;12;CAMEROUNAISE;CHALUT;Peche hauturiere pelagique;Calamar;351
2020;1;CAMEROUNAISE;SENNE;Peche Côtiere pelagique Segment 2;Calamar;30
2020;2;BELIZE;CHALUT;Peche hauturiere pelagique;Calamar;6948
2020;2;Belizienne;CHALUT;Peche hauturiere pelagique;Calamar;980
2020;2;RUSSE;CHALUT;Peche hauturiere pelagique;Calamar;576
2020;3;Belizienne;CHALUT;Peche hauturiere pelagique;Calamar;189
2020;3;CAMEROUNAISE;CHALUT;Peche hauturiere pelagique;Calamar;2565
2020;4;Russe;CHALUT;Peche hauturiere pelagique;Calamar;1755
2020;5;GEORGIENNE;CHALUT;Peche hauturiere pelagique;Calamar;324
2020;5;RUSSE;CHALUT;Peche hauturiere pelagique;Calamar;5076
2020;6;lithuanienne;CHALUT;Peche hauturiere pelagique;Calamar;980
2020;6;Mauritanienne;SENNES;Peche Côtiere pelagique Segment 2;Calamar;1500
2020;6;Polonaise;CHALUT;Peche hauturiere pelagique;Calamar;496
2020;6;Turque;SENNES;Peche Côtiere pelagique Segment 2;Calamar;5000
2020;7;BELIZE;CHALUT;Peche hauturiere pelagique;Calamar;280
2020;7;Mauritanienne;SENNES;Peche Côtiere pelagique Segment 2;Calamar;90
2020;7;TURQUE;SENNES;Peche Côtiere pelagique Segment 3;Calamar;100
