an;mois;nation_2;engin;pecherie_2;espece;poids
2019;1;Chinoise;---;Peche hauturiere cephalopodes;Calamar;3168
2019;1;Chinoise;---;Peche hauturiere cephalopodes;Divers Pélagiques;900
2019;1;Chinoise;---;Peche hauturiere cephalopodes;Poulpe;3072
2019;1;Chinoise;---;Peche hauturiere cephalopodes;Seiche;482
2019;1;Chinoise;120;Peche hauturiere cephalopodes;Calamar;120
2019;1;Chinoise;120;Peche hauturiere cephalopodes;Divers Pélagiques;20
2019;1;Chinoise;120;Peche hauturiere cephalopodes;Poulpe;210
2019;1;Chinoise;120;Peche hauturiere cephalopodes;Seiche;60
2019;1;Chinoise;120;Peche hauturiere cephalopodes;Volute;60
2019;1;Chinoise;CHALU;Peche hauturiere cephalopodes;Calamar;400
2019;1;Chinoise;CHALU;Peche hauturiere cephalopodes;Poulpe;200
2019;1;Chinoise;CHALU;Peche hauturiere cephalopodes;Seiche;400
2019;1;Chinoise;chalut;Peche hauturiere cephalopodes;Calamar;2592
2019;1;Chinoise;chalut;Peche hauturiere cephalopodes;Divers Pélagiques;838
2019;1;Chinoise;chalut;Peche hauturiere cephalopodes;Poulpe;3026
2019;1;Chinoise;chalut;Peche hauturiere cephalopodes;Seiche;388
2019;1;Chinoise;CHALUT;Peche hauturiere cephalopodes;Calamar;41382
2019;1;Chinoise;CHALUT;Peche hauturiere cephalopodes;Divers Pélagiques;20365
2019;1;Chinoise;CHALUT;Peche hauturiere cephalopodes;Poulpe;49994
2019;1;Chinoise;CHALUT;Peche hauturiere cephalopodes;Seiche;17236
2019;1;Chinoise;CHALUT;Peche hauturiere cephalopodes;St pierre;400
2019;1;Chinoise;CHALUT;Peche hauturiere cephalopodes;Volute;3140
2019;1;Chinoise;CHALUTE;Peche hauturiere cephalopodes;Calamar;2460
2019;1;Chinoise;CHALUTE;Peche hauturiere cephalopodes;Divers Pélagiques;1576
2019;1;Chinoise;CHALUTE;Peche hauturiere cephalopodes;Poulpe;3435
2019;1;Chinoise;CHALUTE;Peche hauturiere cephalopodes;Seiche;1285
2019;1;Chinoise;CHLUT;Peche hauturiere cephalopodes;Divers Pélagiques;100
2019;1;Chinoise;CHLUT;Peche hauturiere cephalopodes;Poulpe;400
2019;1;CHINOISE;chalut;Peche hauturiere cephalopodes;Calamar;100
2019;1;CHINOISE;chalut;Peche hauturiere cephalopodes;Divers Pélagiques;100
2019;1;CHINOISE;chalut;Peche hauturiere cephalopodes;Poulpe;800
