an;mois;nation;pecherie;nbrjour
2022;8;Mauritanienne;Peche hauturiere cephalopodes ;3519
2022;1;Mauritanienne;Peche hauturiere cephalopodes ;3465
2022;3;Mauritanienne;Peche hauturiere cephalopodes ;3439
2022;2;Mauritanienne;Peche hauturiere cephalopodes ;3389
2022;9;Mauritanienne;Peche hauturiere cephalopodes ;3381
2020;3;Mauritanienne;Peche hauturiere cephalopodes ;3242
2020;2;Mauritanienne;Peche hauturiere cephalopodes ;3199
2020;4;Mauritanienne;Peche hauturiere cephalopodes ;3149
2020;1;Mauritanienne;Peche hauturiere cephalopodes ;3146
2020;9;Mauritanienne;Peche hauturiere cephalopodes ;2696
2022;4;Mauritanienne;Peche hauturiere cephalopodes ;2657
2021;9;Mauritanienne;Peche hauturiere cephalopodes ;2627
2021;8;Mauritanienne;Peche hauturiere cephalopodes ;2506
2020;8;Mauritanienne;Peche hauturiere cephalopodes ;2298
2021;3;Mauritanienne;Peche hauturiere cephalopodes ;2222
2020;12;Mauritanienne;Peche hauturiere cephalopodes ;2142
2021;1;Mauritanienne;Peche hauturiere cephalopodes ;2057
2021;2;Mauritanienne;Peche hauturiere cephalopodes ;1899
2021;12;Mauritanienne;Peche hauturiere cephalopodes ;1876
2022;7;Mauritanienne;Peche hauturiere cephalopodes ;1809
2019;8;Mauritanienne;Peche hauturiere cephalopodes ;1709
2019;9;Mauritanienne;Peche hauturiere cephalopodes ;1696
2019;3;Mauritanienne;Peche hauturiere cephalopodes ;1628
2019;3;MAURITANIENNE;Peche hauturiere cephalopodes ;1533
2019;4;Mauritanienne;Peche hauturiere cephalopodes ;1515
2019;4;MAURITANIENNE;Peche hauturiere cephalopodes ;1509
2019;1;MAURITANIENNE;Peche hauturiere cephalopodes ;1407
2019;1;Mauritanienne;Peche hauturiere cephalopodes ;1406
2021;7;Mauritanienne;Peche hauturiere cephalopodes ;1395
2019;8;MAURITANIENNE;Peche hauturiere cephalopodes ;1307
2019;2;MAURITANIENNE;Peche hauturiere cephalopodes ;1244
2020;5;Mauritanienne;Peche hauturiere cephalopodes ;1236
2019;9;MAURITANIENNE;Peche hauturiere cephalopodes ;1179
2019;2;Mauritanienne;Peche hauturiere cephalopodes ;1140
2021;4;Mauritanienne;Peche hauturiere cephalopodes ;1097
2019;7;Mauritanienne;Peche hauturiere cephalopodes ;1072
2021;1;MAURITANIENNE;Peche hauturiere cephalopodes ;950
2021;9;MAURITANIENNE;Peche hauturiere cephalopodes ;881
2021;8;MAURITANIENNE;Peche hauturiere cephalopodes ;877
2021;3;MAURITANIENNE;Peche hauturiere cephalopodes ;876
2019;7;MAURITANIENNE;Peche hauturiere cephalopodes ;829
2019;12;Mauritanienne;Peche hauturiere cephalopodes ;825
2021;2;MAURITANIENNE;Peche hauturiere cephalopodes ;820
2021;12;MAURITANIENNE;Peche hauturiere cephalopodes ;799
2019;12;MAURITANIENNE;Peche hauturiere cephalopodes ;597
2022;12;Mauritanienne;Peche hauturiere cephalopodes ;536
2021;7;MAURITANIENNE;Peche hauturiere cephalopodes ;496
